Level	exp	hp	mp	dc1	dc2	mc1	mc2	sc1	sc2	ac	mac
129	327136430 	5970	2624	25	43	0	0	0	0	12	6
130	335586430 	6083	2663	26	43	0	0	0	0	13	6
131	344166930 	6212	2702	26	44	0	0	0	0	13	6
132	352878930 	6341	2741	26	44	0	0	0	0	13	6
133	361723430 	6470	2780	26	44	0	0	0	0	13	6
134	370701430 	6599	2819	26	45	0	0	0	0	13	6
135	379813930 	6728	2858	27	45	0	0	0	0	13	6
136	389061930 	6857	2897	27	45	0	0	0	0	13	6
137	398446430 	6986	2936	27	46	0	0	0	0	13	6
138	407968430 	7115	2975	27	46	0	0	0	0	13	6
139	417628930 	7244	3014	27	46	0	0	0	0	13	6
140	427428930 	7373	3053	28	47	0	0	0	0	14	7
141	437369430 	7519	3092	28	47	0	0	0	0	14	7
142	447451430 	7665	3131	28	47	0	0	0	0	14	7
143	457675930 	7811	3170	28	48	0	0	0	0	14	7
144	468043930 	7957	3209	28	48	0	0	0	0	14	7
145	478556430 	8103	3248	29	48	0	0	0	0	14	7
146	489214430 	8249	3287	29	49	0	0	0	0	14	7
147	500018930 	8395	3326	29	49	0	0	0	0	14	7
148	510970930 	8541	3365	29	49	0	0	0	0	14	7
149	522071430 	8687	3404	29	50	0	0	0	0	14	7
150	533321430 	8833	3443	30	50	0	0	0	0	15	7
151	544721930 	8997	3482	30	50	0	0	0	0	15	7
152	556273930 	9161	3521	30	51	0	0	0	0	15	7
153	567978430 	9325	3560	30	51	0	0	0	0	15	7
154	579836430 	9489	3599	30	51	0	0	0	0	15	7
155	591848930 	9653	3638	31	52	0	0	0	0	15	7
156	604016930 	9817	3677	31	52	0	0	0	0	15	7
157	616341430 	9981	3716	31	52	0	0	0	0	15	7
158	628823430 	10145	3755	31	53	0	0	0	0	15	7
159	641463930 	10309	3794	31	53	0	0	0	0	15	7
160	654263930 	10473	3833	32	53	0	0	0	0	16	8
161	667224430 	10656	3872	32	54	0	0	0	0	16	8
162	680346430 	10839	3911	32	54	0	0	0	0	16	8
163	693630930 	11022	3950	32	54	0	0	0	0	16	8
164	707078930 	11205	3989	32	55	0	0	0	0	16	8
165	720691430 	11388	4028	33	55	0	0	0	0	16	8
166	734469430 	11571	4067	33	55	0	0	0	0	16	8
167	748413930 	11754	4106	33	56	0	0	0	0	16	8
168	762525930 	11937	4145	33	56	0	0	0	0	16	8
169	776806430 	12120	4184	33	56	0	0	0	0	16	8
170	791256430 	12303	4223	34	57	0	0	0	0	17	8
171	805876930 	12506	4262	34	57	0	0	0	0	17	8
172	820668930 	12709	4301	34	57	0	0	0	0	17	8
173	835633430 	12912	4340	34	58	0	0	0	0	17	8
174	850771430 	13115	4379	34	58	0	0	0	0	17	8
175	866083930 	13318	4418	35	58	0	0	0	0	17	8
176	881571930 	13521	4457	35	59	0	0	0	0	17	8
177	897236430 	13724	4496	35	59	0	0	0	0	17	8
178	913078430 	13927	4535	35	59	0	0	0	0	17	8
179	929098930 	14130	4574	35	60	0	0	0	0	17	8
180	945298930 	14333	4613	36	60	0	0	0	0	18	9
181	961679430 	14557	4652	36	60	0	0	0	0	18	9
182	978241430 	14781	4691	36	61	0	0	0	0	18	9
183	994985930 	15005	4730	36	61	0	0	0	0	18	9
184	1011913930 	15229	4769	36	61	0	0	0	0	18	9
185	1029026430 	15453	4808	37	62	0	0	0	0	18	9
186	1046324430 	15677	4847	37	62	0	0	0	0	18	9
187	1063808930 	15901	4886	37	62	0	0	0	0	18	9
188	1081480930 	16125	4925	37	63	0	0	0	0	18	9
189	1099341430 	16349	4964	37	63	0	0	0	0	18	9
190	1117391430 	16573	5003	38	63	0	0	0	0	19	9
191	1135631930 	16819	5042	38	64	0	0	0	0	19	9
192	1154063930 	17065	5081	38	64	0	0	0	0	19	9
193	1172688430 	17311	5120	38	64	0	0	0	0	19	9
194	1191506430 	17557	5159	38	65	0	0	0	0	19	9
195	1210518930 	17803	5198	39	65	0	0	0	0	19	9
196	1229726930 	18049	5237	39	65	0	0	0	0	19	9
197	1249131430 	18295	5276	39	66	0	0	0	0	19	9
198	1268733430 	18541	5315	39	66	0	0	0	0	19	9
199	1288533930 	18787	5354	39	66	0	0	0	0	19	9
200	1308533930 	19033	5393	40	67	0	0	0	0	20	10
201	1328734430 	19302	5432	40	67	0	0	0	0	20	10
202	1349136430 	19571	5471	40	67	0	0	0	0	20	10
203	1369740930 	19840	5510	40	68	0	0	0	0	20	10
204	1390548930 	20109	5549	40	68	0	0	0	0	20	10
205	1411561430 	20378	5588	41	68	0	0	0	0	20	10
206	1432779430 	20647	5627	41	69	0	0	0	0	20	10
207	1454203930 	20916	5666	41	69	0	0	0	0	20	10
208	1475835930 	21185	5705	41	69	0	0	0	0	20	10
209	1497676430 	21454	5744	41	70	0	0	0	0	20	10
210	1519726430 	21723	5783	42	70	0	0	0	0	21	10
211	1541986930 	21754	5803	42	70	0	0	0	0	21	10
212	1564458930 	21785	5823	42	71	0	0	0	0	21	10
213	1587143430 	21816	5843	42	71	0	0	0	0	21	10
214	1610041430 	21847	5863	42	71	0	0	0	0	21	10
215	1633153930 	21878	5883	43	72	0	0	0	0	21	10
216	1656481930 	21909	5903	43	72	0	0	0	0	21	10
217	1680026430 	21940	5923	43	72	0	0	0	0	21	10
218	1703788430 	21971	5943	43	73	0	0	0	0	21	10
219	1727768930 	22002	5963	43	73	0	0	0	0	21	10
220	1751968930 	22033	5983	44	73	0	0	0	0	22	11
221	1776389430 	22064	6003	44	74	0	0	0	0	22	11
222	1801031430 	22095	6023	44	74	0	0	0	0	22	11
223	1825895930 	22126	6043	44	74	0	0	0	0	22	11
224	1850983930 	22157	6063	44	75	0	0	0	0	22	11
225	1876296430 	22188	6083	45	75	0	0	0	0	22	11
226	1901834430 	22219	6103	45	75	0	0	0	0	22	11
227	1927598930 	22250	6123	45	76	0	0	0	0	22	11
228	1953590930 	22281	6143	45	76	0	0	0	0	22	11
229	1979811430 	22312	6163	45	76	0	0	0	0	22	11
230	2006261430 	22343	6183	46	77	0	0	0	0	23	11
231	2032941930 	22374	6203	46	77	0	0	0	0	23	11
232	2059853930 	22405	6223	46	77	0	0	0	0	23	11
233	2086998430 	22436	6243	46	78	0	0	0	0	23	11
234	2114376430 	22467	6263	46	78	0	0	0	0	23	11
235	2141988930 	22498	6283	47	78	0	0	0	0	23	11
236	2169836930 	22529	6303	47	79	0	0	0	0	23	11
237	2197921430 	22560	6323	47	79	0	0	0	0	23	11
238	2226243430 	22591	6343	47	79	0	0	0	0	23	11
239	2254803930 	22622	6363	47	80	0	0	0	0	23	11
240	2283603930 	22653	6383	48	80	0	0	0	0	24	12
241	2312644430 	22684	6403	48	80	0	0	0	0	24	12
242	2341926430 	22715	6423	48	81	0	0	0	0	24	12
243	2371450930 	22746	6443	48	81	0	0	0	0	24	12
244	2401218930 	22777	6463	48	81	0	0	0	0	24	12
245	2431231430 	22808	6483	49	82	0	0	0	0	24	12
246	2461489430 	22839	6503	49	82	0	0	0	0	24	12
247	2491993930 	22870	6523	49	82	0	0	0	0	24	12
248	2522745930 	22901	6543	49	83	0	0	0	0	24	12
249	2553746430 	22932	6563	49	83	0	0	0	0	24	12
250	2584996430 	22963	6583	50	83	0	0	0	0	25	12
251	2616496930 	22994	6603	50	84	0	0	0	0	25	12
252	2648248930 	23025	6623	50	84	0	0	0	0	25	12
253	2680253430 	23056	6643	50	84	0	0	0	0	25	12
254	2712511430 	23087	6663	50	85	0	0	0	0	25	12
255	2745023930 	23118	6683	51	85	0	0	0	0	25	12
256	2777791930 	23149	6703	51	85	0	0	0	0	25	12
257	2810816430 	23180	6723	51	86	0	0	0	0	25	12
258	2844098430 	23211	6743	51	86	0	0	0	0	25	12
259	2877638930 	23242	6763	51	86	0	0	0	0	25	12
260	2911438930 	23273	6783	52	87	0	0	0	0	26	13
261	2945499430 	23304	6803	52	87	0	0	0	0	26	13
262	2979821430 	23335	6823	52	87	0	0	0	0	26	13
263	3014405930 	23366	6843	52	88	0	0	0	0	26	13
264	3049253930 	23397	6863	52	88	0	0	0	0	26	13
265	3084366430 	23428	6883	53	88	0	0	0	0	26	13
266	3119744430 	23459	6903	53	89	0	0	0	0	26	13
267	3155388930 	23490	6923	53	89	0	0	0	0	26	13
268	3191300930 	23521	6943	53	89	0	0	0	0	26	13
269	3227481430 	23552	6963	53	90	0	0	0	0	26	13
270	3263931430 	23583	6983	54	90	0	0	0	0	27	13
271	3300651930 	23614	7003	54	90	0	0	0	0	27	13
272	3337643930 	23645	7023	54	91	0	0	0	0	27	13
273	3374908430 	23676	7043	54	91	0	0	0	0	27	13
274	3412446430 	23707	7063	54	91	0	0	0	0	27	13
275	3450258930 	23738	7083	55	92	0	0	0	0	27	13
276	3488346930 	23769	7103	55	92	0	0	0	0	27	13
277	3526711430 	23800	7123	55	92	0	0	0	0	27	13
278	3565353430 	23831	7143	55	93	0	0	0	0	27	13
279	3604273930 	23862	7163	55	93	0	0	0	0	27	13
280	3643473930 	23893	7183	56	93	0	0	0	0	28	14
281	3682954430 	23924	7203	56	94	0	0	0	0	28	14
282	3722716430 	23955	7223	56	94	0	0	0	0	28	14
283	3762760930 	23986	7243	56	94	0	0	0	0	28	14
284	3803088930 	24017	7263	56	95	0	0	0	0	28	14
285	3843701430 	24048	7283	57	95	0	0	0	0	28	14
286	3884599430 	24079	7303	57	95	0	0	0	0	28	14
287	3925783930 	24110	7323	57	96	0	0	0	0	28	14
288	3967255930 	24141	7343	57	96	0	0	0	0	28	14
289	4009016430 	24172	7363	57	96	0	0	0	0	28	14
290	4051066430 	24203	7383	58	97	0	0	0	0	29	14
291	4093406930 	24234	7403	58	97	0	0	0	0	29	14
292	4136038930 	24265	7423	58	97	0	0	0	0	29	14
293	4178963430 	24296	7443	58	98	0	0	0	0	29	14
294	4222181430 	24327	7463	58	98	0	0	0	0	29	14
295	4265693930 	24358	7483	59	98	0	0	0	0	29	14
296	4309501930 	24389	7503	59	99	0	0	0	0	29	14
297	4353606430 	24420	7523	59	99	0	0	0	0	29	14
298	4398008430 	24451	7543	59	99	0	0	0	0	29	14
299	4442708930 	24482	7563	59	100	0	0	0	0	29	14
300	4487708930 	24513	7583	60	100	0	0	0	0	30	15
301	4533009430 	24544	7603	60	100	0	0	0	0	30	15
302	4578611430 	24575	7623	60	101	0	0	0	0	30	15
303	4624515930 	24606	7643	60	101	0	0	0	0	30	15
304	4670723930 	24637	7663	60	101	0	0	0	0	30	15
305	4717236430 	24668	7683	61	102	0	0	0	0	30	15
306	4764054430 	24699	7703	61	102	0	0	0	0	30	15
307	4811178930 	24730	7723	61	102	0	0	0	0	30	15
308	4858610930 	24761	7743	61	103	0	0	0	0	30	15
309	4906351430 	24792	7763	61	103	0	0	0	0	30	15
310	4954401430 	24823	7783	62	103	0	0	0	0	31	15
311	5002761930 	24854	7803	62	104	0	0	0	0	31	15
312	5051433930 	24885	7823	62	104	0	0	0	0	31	15
313	5100418430 	24916	7843	62	104	0	0	0	0	31	15
314	5149716430 	24947	7863	62	105	0	0	0	0	31	15
315	5199328930 	24978	7883	63	105	0	0	0	0	31	15
316	5249256930 	25009	7903	63	105	0	0	0	0	31	15
317	5299501430 	25040	7923	63	106	0	0	0	0	31	15
318	5350063430 	25071	7943	63	106	0	0	0	0	31	15
319	5400943930 	25102	7963	63	106	0	0	0	0	31	15
320	5452143930 	25133	7983	64	107	0	0	0	0	32	16
321	5503664430 	25164	8003	64	107	0	0	0	0	32	16
322	5555506430 	25195	8023	64	107	0	0	0	0	32	16
323	5607670930 	25226	8043	64	108	0	0	0	0	32	16
324	5660158930 	25257	8063	64	108	0	0	0	0	32	16
325	5712971430 	25288	8083	65	108	0	0	0	0	32	16
326	5766109430 	25319	8103	65	109	0	0	0	0	32	16
327	5819573930 	25350	8123	65	109	0	0	0	0	32	16
328	5873365930 	25381	8143	65	109	0	0	0	0	32	16
329	5927486430 	25412	8163	65	110	0	0	0	0	32	16
330	5981936430 	25443	8183	66	110	0	0	0	0	33	16
331	6036716930 	25474	8203	66	110	0	0	0	0	33	16
332	6091828930 	25505	8223	66	111	0	0	0	0	33	16
333	6147273430 	25536	8243	66	111	0	0	0	0	33	16
334	6203051430 	25567	8263	66	111	0	0	0	0	33	16
335	6259163930 	25598	8283	67	112	0	0	0	0	33	16
336	6315611930 	25629	8303	67	112	0	0	0	0	33	16
337	6372396430 	25660	8323	67	112	0	0	0	0	33	16
338	6429518430 	25691	8343	67	113	0	0	0	0	33	16
339	6486978930 	25722	8363	67	113	0	0	0	0	33	16
340	6544778930 	25753	8383	68	113	0	0	0	0	34	17
341	6602919430 	25784	8403	68	114	0	0	0	0	34	17
342	6661401430 	25815	8423	68	114	0	0	0	0	34	17
343	6720225930 	25846	8443	68	114	0	0	0	0	34	17
344	6779393930 	25877	8463	68	115	0	0	0	0	34	17
345	6838906430 	25908	8483	69	115	0	0	0	0	34	17
346	6898764430 	25939	8503	69	115	0	0	0	0	34	17
347	6958968930 	25970	8523	69	116	0	0	0	0	34	17
348	7019520930 	26001	8543	69	116	0	0	0	0	34	17
349	7080421430 	26032	8563	69	116	0	0	0	0	34	17
350	7141671430 	26063	8583	70	117	0	0	0	0	35	17
351	7203271930 	26094	8603	70	117	0	0	0	0	35	17
352	7265223930 	26125	8623	70	117	0	0	0	0	35	17
353	7327528430 	26156	8643	70	118	0	0	0	0	35	17
354	7390186430 	26187	8663	70	118	0	0	0	0	35	17
355	7453198930 	26218	8683	71	118	0	0	0	0	35	17
356	7516566930 	26249	8703	71	119	0	0	0	0	35	17
357	7580291430 	26280	8723	71	119	0	0	0	0	35	17
358	7644373430 	26311	8743	71	119	0	0	0	0	35	17
359	7708813930 	26342	8763	71	120	0	0	0	0	35	17
360	7773613930 	26373	8783	72	120	0	0	0	0	36	18
361	7838774430 	26404	8803	72	120	0	0	0	0	36	18
362	7904296430 	26435	8823	72	121	0	0	0	0	36	18
363	7970180930 	26466	8843	72	121	0	0	0	0	36	18
364	8036428930 	26497	8863	72	121	0	0	0	0	36	18
365	8103041430 	26528	8883	73	122	0	0	0	0	36	18
366	8170019430 	26559	8903	73	122	0	0	0	0	36	18
367	8237363930 	26590	8923	73	122	0	0	0	0	36	18
368	8305075930 	26621	8943	73	123	0	0	0	0	36	18
369	8373156430 	26652	8963	73	123	0	0	0	0	36	18
370	8441606430 	26683	8983	74	123	0	0	0	0	37	18
371	8510426930 	26714	9003	74	124	0	0	0	0	37	18
372	8579618930 	26745	9023	74	124	0	0	0	0	37	18
373	8649183430 	26776	9043	74	124	0	0	0	0	37	18
374	8719121430 	26807	9063	74	125	0	0	0	0	37	18
375	8789433930 	26838	9083	75	125	0	0	0	0	37	18
376	8860121930 	26869	9103	75	125	0	0	0	0	37	18
377	8931186430 	26900	9123	75	126	0	0	0	0	37	18
378	9002628430 	26931	9143	75	126	0	0	0	0	37	18
379	9074448930 	26962	9163	75	126	0	0	0	0	37	18
380	9146648930 	26993	9183	76	127	0	0	0	0	38	19
381	9219229430 	27024	9203	76	127	0	0	0	0	38	19
382	9292191430 	27055	9223	76	127	0	0	0	0	38	19
383	9365535930 	27086	9243	76	128	0	0	0	0	38	19
384	9439263930 	27117	9263	76	128	0	0	0	0	38	19
385	9513376430 	27148	9283	77	128	0	0	0	0	38	19
386	9587874430 	27179	9303	77	129	0	0	0	0	38	19
387	9662758930 	27210	9323	77	129	0	0	0	0	38	19
388	9738030930 	27241	9343	77	129	0	0	0	0	38	19
389	9813691430 	27272	9363	77	130	0	0	0	0	38	19
390	9889741430 	27303	9383	78	130	0	0	0	0	39	19
391	9966181930 	27334	9403	78	130	0	0	0	0	39	19
392	10043013930 	27365	9423	78	131	0	0	0	0	39	19
393	10120238430 	27396	9443	78	131	0	0	0	0	39	19
394	10197856430 	27427	9463	78	131	0	0	0	0	39	19
395	10275868930 	27458	9483	79	132	0	0	0	0	39	19
396	10354276930 	27489	9503	79	132	0	0	0	0	39	19
397	10433081430 	27520	9523	79	132	0	0	0	0	39	19
398	10512283430 	27551	9543	79	133	0	0	0	0	39	19
399	10591883930 	27582	9563	79	133	0	0	0	0	39	19
400	10671883930 	27613	9583	80	133	0	0	0	0	40	20
401	10752284430 	27644	9603	80	134	0	0	0	0	40	20
402	10833086430 	27675	9623	80	134	0	0	0	0	40	20
403	10914290930 	27706	9643	80	134	0	0	0	0	40	20
404	10995898930 	27737	9663	80	135	0	0	0	0	40	20
405	11077911430 	27768	9683	81	135	0	0	0	0	40	20
406	11160329430 	27799	9703	81	135	0	0	0	0	40	20
407	11243153930 	27830	9723	81	136	0	0	0	0	40	20
408	11326385930 	27861	9743	81	136	0	0	0	0	40	20
409	11410026430 	27892	9763	81	136	0	0	0	0	40	20
410	11494076430 	27923	9783	82	137	0	0	0	0	41	20
411	11578536930 	27954	9803	82	137	0	0	0	0	41	20
412	11663408930 	27985	9823	82	137	0	0	0	0	41	20
413	11748693430 	28016	9843	82	138	0	0	0	0	41	20
414	11834391430 	28047	9863	82	138	0	0	0	0	41	20
415	11920503930 	28078	9883	83	138	0	0	0	0	41	20
416	12007031930 	28109	9903	83	139	0	0	0	0	41	20
417	12093976430 	28140	9923	83	139	0	0	0	0	41	20
418	12181338430 	28171	9943	83	139	0	0	0	0	41	20
419	12269118930 	28202	9963	83	140	0	0	0	0	41	20
420	12357318930 	28233	9983	84	140	0	0	0	0	42	21
421	12445939430 	28264	10003	84	140	0	0	0	0	42	21
422	12534981430 	28295	10023	84	141	0	0	0	0	42	21
423	12624445930 	28326	10043	84	141	0	0	0	0	42	21
424	12714333930 	28357	10063	84	141	0	0	0	0	42	21
425	12804646430 	28388	10083	85	142	0	0	0	0	42	21
426	12895384430 	28419	10103	85	142	0	0	0	0	42	21
427	12986548930 	28450	10123	85	142	0	0	0	0	42	21
428	13078140930 	28481	10143	85	143	0	0	0	0	42	21
429	13170161430 	28512	10163	85	143	0	0	0	0	42	21
430	13262611430 	28543	10183	86	143	0	0	0	0	43	21
431	13355491930 	28574	10203	86	144	0	0	0	0	43	21
432	13448803930 	28605	10223	86	144	0	0	0	0	43	21
433	13542548430 	28636	10243	86	144	0	0	0	0	43	21
434	13636726430 	28667	10263	86	145	0	0	0	0	43	21
435	13731338930 	28698	10283	87	145	0	0	0	0	43	21
436	13826386930 	28729	10303	87	145	0	0	0	0	43	21
437	13921871430 	28760	10323	87	146	0	0	0	0	43	21
438	14017793430 	28791	10343	87	146	0	0	0	0	43	21
439	14114153930 	28822	10363	87	146	0	0	0	0	43	21
440	14210953930 	28853	10383	88	147	0	0	0	0	44	22
441	14308194430 	28884	10403	88	147	0	0	0	0	44	22
442	14405876430 	28915	10423	88	147	0	0	0	0	44	22
443	14504000930 	28946	10443	88	148	0	0	0	0	44	22
444	14602568930 	28977	10463	88	148	0	0	0	0	44	22
445	14701581430 	29008	10483	89	148	0	0	0	0	44	22
446	14801039430 	29039	10503	89	149	0	0	0	0	44	22
447	14900943930 	29070	10523	89	149	0	0	0	0	44	22
448	15001295930 	29101	10543	89	149	0	0	0	0	44	22
449	15102096430 	29132	10563	89	150	0	0	0	0	44	22
450	15203346430 	29163	10583	90	150	0	0	0	0	45	22
451	15305046930 	29194	10603	90	150	0	0	0	0	45	22
452	15407198930 	29225	10623	90	151	0	0	0	0	45	22
453	15509803430 	29256	10643	90	151	0	0	0	0	45	22
454	15612861430 	29287	10663	90	151	0	0	0	0	45	22
455	15716373930 	29318	10683	91	152	0	0	0	0	45	22
456	15820341930 	29349	10703	91	152	0	0	0	0	45	22
457	15924766430 	29380	10723	91	152	0	0	0	0	45	22
458	16029648430 	29411	10743	91	153	0	0	0	0	45	22
459	16134988930 	29442	10763	91	153	0	0	0	0	45	22
460	16240788930 	29473	10783	92	153	0	0	0	0	46	23
461	16347049430 	29504	10803	92	154	0	0	0	0	46	23
462	16453771430 	29535	10823	92	154	0	0	0	0	46	23
463	16560955930 	29566	10843	92	154	0	0	0	0	46	23
464	16668603930 	29597	10863	92	155	0	0	0	0	46	23
465	16776716430 	29628	10883	93	155	0	0	0	0	46	23
466	16885294430 	29659	10903	93	155	0	0	0	0	46	23
467	16994338930 	29690	10923	93	156	0	0	0	0	46	23
468	17103850930 	29721	10943	93	156	0	0	0	0	46	23
469	17213831430 	29752	10963	93	156	0	0	0	0	46	23
470	17324281430 	29783	10983	94	157	0	0	0	0	47	23
471	17435201930 	29814	11003	94	157	0	0	0	0	47	23
472	17546593930 	29845	11023	94	157	0	0	0	0	47	23
473	17658458430 	29876	11043	94	158	0	0	0	0	47	23
474	17770796430 	29907	11063	94	158	0	0	0	0	47	23
475	17883608930 	29938	11083	95	158	0	0	0	0	47	23
476	17996896930 	29969	11103	95	159	0	0	0	0	47	23
