ID	Name	photo	vocation	Lvl	coin	作用	value	descr
202031	银矿	1011	0	1	3025	0	11	银矿,纯度:11
202032	银矿	1011	0	1	3600	0	12	银矿,纯度:12
202033	银矿	1011	0	1	4225	0	13	银矿,纯度:13
202034	银矿	1011	0	1	4900	0	14	银矿,纯度:14
202035	银矿	1011	0	1	5625	0	15	银矿,纯度:15
202036	银矿	1011	0	1	6400	0	16	银矿,纯度:16
202037	银矿	1011	0	1	7225	0	17	银矿,纯度:17
202038	银矿	1011	0	1	8100	0	18	银矿,纯度:18
202039	银矿	1011	0	1	9025	0	19	银矿,纯度:19
202040	银矿	1011	0	1	10000	0	20	银矿,纯度:20
202041	铜矿	1012	0	1	15	0	1	铜矿,纯度:1
202042	铜矿	1012	0	1	60	0	2	铜矿,纯度:2
202043	铜矿	1012	0	1	135	0	3	铜矿,纯度:3
202044	铜矿	1012	0	1	240	0	4	铜矿,纯度:4
202045	铜矿	1012	0	1	375	0	5	铜矿,纯度:5
202046	铜矿	1012	0	1	540	0	6	铜矿,纯度:6
202047	铜矿	1012	0	1	735	0	7	铜矿,纯度:7
202048	铜矿	1012	0	1	960	0	8	铜矿,纯度:8
202049	铜矿	1012	0	1	1215	0	9	铜矿,纯度:9
202050	铜矿	1012	0	1	1500	0	10	铜矿,纯度:10
202051	铜矿	1012	0	1	1815	0	11	铜矿,纯度:11
202052	铜矿	1012	0	1	2160	0	12	铜矿,纯度:12
202053	铜矿	1012	0	1	2535	0	13	铜矿,纯度:13
202054	铜矿	1012	0	1	2940	0	14	铜矿,纯度:14
202055	铜矿	1012	0	1	3375	0	15	铜矿,纯度:15
202056	铜矿	1012	0	1	3840	0	16	铜矿,纯度:16
202057	铜矿	1012	0	1	4335	0	17	铜矿,纯度:17
202058	铜矿	1012	0	1	4860	0	18	铜矿,纯度:18
202059	铜矿	1012	0	1	5415	0	19	铜矿,纯度:19
202060	铜矿	1012	0	1	6000	0	20	铜矿,纯度:20
202061	铁矿石	1013	0	1	5	0	1	铁矿石,纯度:1
202062	铁矿石	1013	0	1	20	0	2	铁矿石,纯度:2
202063	铁矿石	1013	0	1	45	0	3	铁矿石,纯度:3
202064	铁矿石	1013	0	1	80	0	4	铁矿石,纯度:4
202065	铁矿石	1013	0	1	125	0	5	铁矿石,纯度:5
202066	铁矿石	1013	0	1	180	0	6	铁矿石,纯度:6
202067	铁矿石	1013	0	1	245	0	7	铁矿石,纯度:7
202068	铁矿石	1013	0	1	320	0	8	铁矿石,纯度:8
202069	铁矿石	1013	0	1	405	0	9	铁矿石,纯度:9
202070	铁矿石	1013	0	1	500	0	10	铁矿石,纯度:10
202071	铁矿石	1013	0	1	605	0	11	铁矿石,纯度:11
202072	铁矿石	1013	0	1	720	0	12	铁矿石,纯度:12
202073	铁矿石	1013	0	1	845	0	13	铁矿石,纯度:13
202074	铁矿石	1013	0	1	980	0	14	铁矿石,纯度:14
202075	铁矿石	1013	0	1	1125	0	15	铁矿石,纯度:15
202076	铁矿石	1013	0	1	1280	0	16	铁矿石,纯度:16
202077	铁矿石	1013	0	1	1445	0	17	铁矿石,纯度:17
202078	铁矿石	1013	0	1	1620	0	18	铁矿石,纯度:18
202079	铁矿石	1013	0	1	1805	0	19	铁矿石,纯度:19
202080	铁矿石	1013	0	1	2000	0	20	铁矿石,纯度:20
202081	黑铁矿石	1014	0	1	16	0	1	黑铁矿石,纯度:1
202082	黑铁矿石	1014	0	1	64	0	2	黑铁矿石,纯度:2
202083	黑铁矿石	1014	0	1	144	0	3	黑铁矿石,纯度:3
202084	黑铁矿石	1014	0	1	256	0	4	黑铁矿石,纯度:4
202085	黑铁矿石	1014	0	1	400	0	5	黑铁矿石,纯度:5
202086	黑铁矿石	1014	0	1	576	0	6	黑铁矿石,纯度:6
202087	黑铁矿石	1014	0	1	784	0	7	黑铁矿石,纯度:7
202088	黑铁矿石	1014	0	1	1024	0	8	黑铁矿石,纯度:8
202089	黑铁矿石	1014	0	1	1296	0	9	黑铁矿石,纯度:9
202090	黑铁矿石	1014	0	1	1600	0	10	黑铁矿石,纯度:10
202091	黑铁矿石	1014	0	1	1936	0	11	黑铁矿石,纯度:11
202092	黑铁矿石	1014	0	1	2304	0	12	黑铁矿石,纯度:12
202093	黑铁矿石	1014	0	1	2704	0	13	黑铁矿石,纯度:13
202094	黑铁矿石	1014	0	1	3136	0	14	黑铁矿石,纯度:14
202095	黑铁矿石	1014	0	1	3600	0	15	黑铁矿石,纯度:15
202096	黑铁矿石	1014	0	1	4096	0	16	黑铁矿石,纯度:16
202097	黑铁矿石	1014	0	1	4624	0	17	黑铁矿石,纯度:17
202098	黑铁矿石	1014	0	1	5184	0	18	黑铁矿石,纯度:18
202099	黑铁矿石	1014	0	1	5776	0	19	黑铁矿石,纯度:19
202100	黑铁矿石	1014	0	1	6400	0	20	黑铁矿石,纯度:20
202101	紫水晶矿石	1015	0	1	35	0	1	紫水晶矿石,纯度:1
202102	紫水晶矿石	1015	0	1	140	0	2	紫水晶矿石,纯度:2
202103	紫水晶矿石	1015	0	1	315	0	3	紫水晶矿石,纯度:3
202104	紫水晶矿石	1015	0	1	560	0	4	紫水晶矿石,纯度:4
202105	紫水晶矿石	1015	0	1	875	0	5	紫水晶矿石,纯度:5
202106	紫水晶矿石	1015	0	1	1260	0	6	紫水晶矿石,纯度:6
202107	紫水晶矿石	1015	0	1	1715	0	7	紫水晶矿石,纯度:7
202108	紫水晶矿石	1015	0	1	2240	0	8	紫水晶矿石,纯度:8
202109	紫水晶矿石	1015	0	1	2835	0	9	紫水晶矿石,纯度:9
202110	紫水晶矿石	1015	0	1	3500	0	10	紫水晶矿石,纯度:10
202111	紫水晶矿石	1015	0	1	4235	0	11	紫水晶矿石,纯度:11
202112	紫水晶矿石	1015	0	1	5040	0	12	紫水晶矿石,纯度:12
202113	紫水晶矿石	1015	0	1	5915	0	13	紫水晶矿石,纯度:13
202114	紫水晶矿石	1015	0	1	6860	0	14	紫水晶矿石,纯度:14
202115	紫水晶矿石	1015	0	1	7875	0	15	紫水晶矿石,纯度:15
202116	紫水晶矿石	1015	0	1	8960	0	16	紫水晶矿石,纯度:16
202117	紫水晶矿石	1015	0	1	10115	0	17	紫水晶矿石,纯度:17
202118	紫水晶矿石	1015	0	1	11340	0	18	紫水晶矿石,纯度:18
202119	紫水晶矿石	1015	0	1	12635	0	19	紫水晶矿石,纯度:19
202120	紫水晶矿石	1015	0	1	14000	0	20	紫水晶矿石,纯度:20
202121	绿水晶矿石	1016	0	1	35	0	1	绿水晶矿石,纯度:1
202122	绿水晶矿石	1016	0	1	140	0	2	绿水晶矿石,纯度:2
202123	绿水晶矿石	1016	0	1	315	0	3	绿水晶矿石,纯度:3
202124	绿水晶矿石	1016	0	1	560	0	4	绿水晶矿石,纯度:4
202125	绿水晶矿石	1016	0	1	875	0	5	绿水晶矿石,纯度:5
202126	绿水晶矿石	1016	0	1	1260	0	6	绿水晶矿石,纯度:6
202127	绿水晶矿石	1016	0	1	1715	0	7	绿水晶矿石,纯度:7
202128	绿水晶矿石	1016	0	1	2240	0	8	绿水晶矿石,纯度:8
202129	绿水晶矿石	1016	0	1	2835	0	9	绿水晶矿石,纯度:9
202130	绿水晶矿石	1016	0	1	3500	0	10	绿水晶矿石,纯度:10
202131	绿水晶矿石	1016	0	1	4235	0	11	绿水晶矿石,纯度:11
202132	绿水晶矿石	1016	0	1	5040	0	12	绿水晶矿石,纯度:12
202133	绿水晶矿石	1016	0	1	5915	0	13	绿水晶矿石,纯度:13
202134	绿水晶矿石	1016	0	1	6860	0	14	绿水晶矿石,纯度:14
202135	绿水晶矿石	1016	0	1	7875	0	15	绿水晶矿石,纯度:15
202136	绿水晶矿石	1016	0	1	8960	0	16	绿水晶矿石,纯度:16
202137	绿水晶矿石	1016	0	1	10115	0	17	绿水晶矿石,纯度:17
202138	绿水晶矿石	1016	0	1	11340	0	18	绿水晶矿石,纯度:18
202139	绿水晶矿石	1016	0	1	12635	0	19	绿水晶矿石,纯度:19
202140	绿水晶矿石	1016	0	1	14000	0	20	绿水晶矿石,纯度:20
220001	火球术	1009	2	7	500	5001	0	研读后可学会《火球术》，并有一定概率提升熟练度
220002	治愈术	1009	3	7	500	5001	0	研读后可学会《治愈术》，并有一定概率提升熟练度
220003	基本剑术	1009	1	7	500	5001	0	研读后可学会《基本剑术》，并有一定概率提升熟练度
220004	精神力战法	1009	3	9	700	5001	0	研读后可学会《精神力战法》，并有一定概率提升熟练度
220005	大火球	1009	2	19	2000	5001	0	研读后可学会《大火球》，并有一定概率提升熟练度
220006	攻杀剑术	1009	1	19	2000	5001	0	研读后可学会《攻杀剑术》，并有一定概率提升熟练度
220007	施毒术	1009	3	14	1200	5001	0	研读后可学会《施毒术》，并有一定概率提升熟练度
220008	抗拒火环	1009	2	12	500	5001	0	研读后可学会《抗拒火环》，并有一定概率提升熟练度
220009	地狱寒冰	1009	2	16	1500	5001	0	研读后可学会《地狱寒冰》，并有一定概率提升熟练度
220010	雷电术	1009	2	17	1500	5001	0	研读后可学会《雷电术》，并有一定概率提升熟练度
220011	疾光电影	1009	2	26	9000	5001	0	研读后可学会《疾光电影》，并有一定概率提升熟练度
220012	灵魂火符	1009	3	18	1800	5001	0	研读后可学会《灵魂火符》，并有一定概率提升熟练度
220013	幽灵盾	1009	3	22	2727	5001	0	研读后可学会《幽灵盾》，并有一定概率提升熟练度
220014	神圣战甲术	1009	3	25	4545	5001	0	研读后可学会《神圣战甲术》，并有一定概率提升熟练度
220015	刺杀剑术	1009	1	25	4545	5001	0	研读后可学会《刺杀剑术》，并有一定概率提升熟练度
220016	困魔咒	1009	3	28	7000	5001	0	研读后可学会《困魔咒》，并有一定概率提升熟练度
220017	亡灵召唤	1009	3	19	2000	5001	0	研读后可学会《亡灵召唤》，并有一定概率提升熟练度
220018	隐身术	1009	3	20	2000	5001	0	研读后可学会《隐身术》，并有一定概率提升熟练度
220019	集体隐身术	1009	3	21	2727	5001	0	研读后可学会《集体隐身术》，并有一定概率提升熟练度
220020	诱惑之光	1009	2	13	1000	5001	0	研读后可学会《诱惑之光》，并有一定概率提升熟练度
220021	瞬息移动	1009	2	19	2000	5001	0	研读后可学会《瞬息移动》，并有一定概率提升熟练度
220022	附体之炎	1009	2	24	4500	5001	0	研读后可学会《附体之炎》，并有一定概率提升熟练度
220023	爆裂火焰	1009	2	22	2700	5001	0	研读后可学会《爆裂火焰》，并有一定概率提升熟练度
220024	地狱雷光	1009	2	30	10000	5001	0	研读后可学会《地狱雷光》，并有一定概率提升熟练度
220025	半月弯刀	1009	1	28	10000	5001	0	研读后可学会《半月弯刀》，并有一定概率提升熟练度
220026	烈火剑法	1009	1	35	20000	5001	0	研读后可学会《烈火剑法》，并有一定概率提升熟练度
220027	野蛮冲撞	1009	1	30	12000	5001	0	研读后可学会《野蛮冲撞》，并有一定概率提升熟练度
220028	群体施毒术	1009	3	43	18000	5001	0	研读后可学会《群体施毒术》，并有一定概率提升熟练度
220029	群体治疗术	1009	3	33	15000	5001	0	研读后可学会《群体治疗术》，并有一定概率提升熟练度
220030	召唤神兽	1009	3	35	20000	5001	0	研读后可学会《召唤神兽》，并有一定概率提升熟练度
220031	魔法盾	1009	2	31	10000	5001	0	研读后可学会《魔法盾》，并有一定概率提升熟练度
220032	圣言术	1009	2	32	10000	5001	0	研读后可学会《圣言术》，并有一定概率提升熟练度
220033	冰咆哮	1009	2	35	20000	5001	0	研读后可学会《冰咆哮》，并有一定概率提升熟练度
220034	战神守护	1009	1	52	50000	5001	0	研读后可学会《战神守护》，并有一定概率提升熟练度
220035	逐日剑法	1009	1	60	50000	5001	0	研读后可学会《逐日剑法》，并有一定概率提升熟练度
220036	开天斩	1009	1	64	50000	5001	0	研读后可学会《开天斩》，并有一定概率提升熟练度
220037	圆月莲华	1009	1	70	50000	5001	0	研读后可学会《圆月莲华》，并有一定概率提升熟练度
220038	幽冥火咒	1009	3	55	50000	5001	0	研读后可学会《幽冥火咒》，并有一定概率提升熟练度
220039	狂雷闪	1009	2	70	50000	5001	0	研读后可学会《狂雷闪》，并有一定概率提升熟练度
220040	怒炎	1009	2	95	50000	5001	0	研读后可学会《怒炎》，并有一定概率提升熟练度
220041	召唤月灵	1009	3	80	70000	5001	0	研读后可学会《召唤月灵》，并有一定概率提升熟练度
220042	召唤白虎	1009	3	125	90000	5001	0	研读后可学会《召唤白虎》，并有一定概率提升熟练度
220043	狂暴	1009	1	55	50000	5001	0	研读后可学会《狂暴》，并有一定概率提升熟练度
220044	嗜血	1009	1	55	50000	5001	0	研读后可学会《嗜血》，并有一定概率提升熟练度
220045	狮子吼	1009	1	55	50000	5001	0	研读后可学会《狮子吼》，并有一定概率提升熟练度
220046	蚀甲	1009	3	40	10000	5001	0	研读后可学会《蚀甲》，并有一定概率提升熟练度
