ID	Name	Photo	boss	Lvl	Exp	Hp	Mp	DCMin	DCMax	MCMin	MCMax	AC	MAC	Hit	intervel
100146	玉面素狐王	116	0	83	1660	2656	10	0	0	116	174	48	59	20	1750
100147	火尾黑狐王	117	0	83	1660	2656	10	116	174	0	0	59	48	20	1750
100148	狐月之眼	118	0	80	1600	2560	10	0	0	112	168	47	57	20	2000
100149	狐月魔眼	119	0	76	1520	2432	10	0	0	106	159	44	54	20	2000
100150	狐月弓箭手	120	0	78	1560	2496	10	109	163	0	0	55	45	20	1510
100151	九尾魂石	121	1	98	8500	8000	10	0	0	165	200	57	70	20	1450
100152	狐月天珠	122	1	99	9000	10000	10	0	0	180	226	58	70	22	1800
100153	雪域冰甲虫	123	0	94	1880	3290	10	141	211	0	0	67	55	20	2000
100154	雪域冰狼	126	0	86	1720	3010	10	129	193	0	0	61	50	20	2000
100155	雪域野人	124	0	90	1800	3150	10	135	202	0	0	64	52	20	2000
100156	雪域毛人	125	0	92	1840	3220	10	138	207	0	0	65	54	20	2000
100157	雪域羊人	127	0	94	1880	3290	10	0	0	141	211	55	67	20	2000
100158	雪域侍卫	128	0	87	1740	3045	10	130	195	0	0	62	51	20	2000
100159	雪域力士	129	0	85	1700	2975	10	127	191	0	0	60	50	20	2000
100160	雪域卫士	130	0	90	1800	3150	10	135	202	0	0	64	52	20	2000
100161	雪域战将	131	0	88	1760	3080	10	132	198	0	0	62	51	20	2000
100162	雪域寒冰魔	132	0	86	1720	3010	10	0	0	129	193	50	61	20	2000
100163	雪域灭天魔	133	0	92	1840	3220	10	0	0	138	207	54	65	20	2000
100164	雪域五毒魔	134	0	89	1780	3115	10	0	0	133	200	52	63	20	2000
100165	雪域天将	135	1	94	10000	13000	10	195	248	0	0	67	55	20	1570
100166	雪域魔王	136	1	99	12000	14200	10	236	268	0	0	70	58	21	2000
100167	静之火灵	137	0	98	1960	3724	10	0	0	156	230	57	70	20	2000
100168	怒之火灵	138	0	102	2040	3876	10	0	0	163	239	60	72	20	2000
100169	火龙守护兽	139	0	95	1900	3610	10	152	223	0	0	67	55	20	2000
100170	火龙红蛇	64	0	95	1900	3610	10	152	223	0	0	67	55	20	2000
100171	火龙虎蛇	66	0	101	2020	3838	10	161	237	0	0	72	59	20	2000
100172	火龙圣兽	115	0	99	1980	3762	10	0	0	158	232	58	70	20	2000
100173	火龙蛛王	140	0	101	2020	3838	10	0	0	161	237	59	72	20	2000
100174	火龙蜥蜴	83	0	100	2000	3800	10	0	0	160	235	58	71	20	2000
100175	火龙将军	141	0	103	2060	3914	10	164	242	0	0	73	60	20	2000
100176	蓝影刀客	142	0	98	1960	3724	10	156	230	0	0	70	57	20	2000
100177	火龙教主	102	1	100	13000	18000	10	999	999	0	0	71	58	30	1800
100178	火龙	143	1	105	13500	20000	10	0	0	999	999	61	75	18	2000
