Level	exp	hp	mp	dc1	dc2	mc1	mc2	sc1	sc2	ac1	ac2	mac1	mac2
349	569144000	28395	22003	0	0	0	0	104	116	19	35	19	35
350	574044000	28478	22033	0	0	0	0	104	117	19	36	19	36
351	578972040	28561	22063	0	0	0	0	105	117	19	36	19	36
352	583928200	28644	22093	0	0	0	0	105	117	19	36	19	36
353	588912560	28727	22123	0	0	0	0	105	118	19	36	19	36
354	593925200	28810	22153	0	0	0	0	106	118	19	36	19	36
355	598966200	28893	22183	0	0	0	0	106	118	19	36	19	36
356	604035640	28976	22213	0	0	0	0	106	119	19	36	19	36
357	609133600	29059	22243	0	0	0	0	107	119	19	36	19	36
358	614260160	29142	22273	0	0	0	0	107	119	19	36	19	36
359	619415400	29225	22303	0	0	0	0	107	120	19	36	19	36
360	624599400	29308	22333	0	0	0	0	108	120	20	37	20	37
361	629812240	29391	22363	0	0	0	0	108	120	20	37	20	37
362	635054000	29474	22393	0	0	0	0	108	121	20	37	20	37
363	640324760	29557	22423	0	0	0	0	108	121	20	37	20	37
364	645624600	29640	22453	0	0	0	0	108	121	20	37	20	37
365	650953600	29723	22483	0	0	0	0	108	122	20	37	20	37
366	656311840	29806	22513	0	0	0	0	109	122	20	37	20	37
367	661699400	29889	22543	0	0	0	0	109	122	20	37	20	37
368	667116360	29972	22573	0	0	0	0	109	123	20	37	20	37
369	672562800	30055	22603	0	0	0	0	110	123	20	37	20	37
370	678038800	30138	22633	0	0	0	0	110	123	20	38	20	38
371	683544440	30221	22663	0	0	0	0	110	124	20	38	20	38
372	689079800	30304	22693	0	0	0	0	111	124	20	38	20	38
373	694644960	30387	22723	0	0	0	0	111	124	20	38	20	38
374	700240000	30470	22753	0	0	0	0	111	125	20	38	20	38
375	705865000	30553	22783	0	0	0	0	112	125	20	38	20	38
376	711520040	30636	22813	0	0	0	0	112	125	20	38	20	38
377	717205200	30719	22843	0	0	0	0	112	126	20	38	20	38
378	722920560	30802	22873	0	0	0	0	113	126	21	38	21	38
379	728666200	30885	22903	0	0	0	0	113	126	21	38	21	38
380	734442200	30968	22933	0	0	0	0	113	127	21	39	21	39
381	740248640	31051	22963	0	0	0	0	114	127	21	39	21	39
382	746085600	31134	22993	0	0	0	0	114	127	21	39	21	39
383	751953160	31217	23023	0	0	0	0	114	128	21	39	21	39
384	757851400	31300	23053	0	0	0	0	115	128	21	39	21	39
385	763780400	31383	23083	0	0	0	0	115	128	21	39	21	39
386	769740240	31466	23113	0	0	0	0	115	129	21	39	21	39
387	775731000	31549	23143	0	0	0	0	116	129	21	39	21	39
388	781752760	31632	23173	0	0	0	0	116	129	21	39	21	39
389	787805600	31715	23203	0	0	0	0	116	130	21	39	21	39
390	793889600	31798	23233	0	0	0	0	117	130	21	40	21	40
391	800004840	31881	23263	0	0	0	0	117	130	21	40	21	40
392	806151400	31964	23293	0	0	0	0	117	131	21	40	21	40
393	812329360	32047	23323	0	0	0	0	117	131	21	40	21	40
394	818538800	32130	23353	0	0	0	0	117	131	21	40	21	40
395	824779800	32213	23383	0	0	0	0	117	132	21	40	21	40
396	831052440	32296	23413	0	0	0	0	118	132	22	40	22	40
397	837356800	32379	23443	0	0	0	0	118	132	22	40	22	40
398	843692960	32462	23473	0	0	0	0	118	133	22	40	22	40
399	850061000	32545	23503	0	0	0	0	119	133	22	40	22	40
400	856461000	32628	23533	0	0	0	0	119	133	22	41	22	41
401	862893040	32711	23563	0	0	0	0	119	134	22	41	22	41
402	869357200	32794	23593	0	0	0	0	120	134	22	41	22	41
403	875853560	32877	23623	0	0	0	0	120	134	22	41	22	41
404	882382200	32960	23653	0	0	0	0	120	135	22	41	22	41
405	888943200	33043	23683	0	0	0	0	121	135	22	41	22	41
406	895536640	33126	23713	0	0	0	0	121	135	22	41	22	41
407	902162600	33209	23743	0	0	0	0	121	136	22	41	22	41
408	908821160	33292	23773	0	0	0	0	122	136	22	41	22	41
409	915512400	33375	23803	0	0	0	0	122	136	22	41	22	41
410	922236400	33458	23833	0	0	0	0	122	137	22	42	22	42
411	928993240	33541	23863	0	0	0	0	123	137	22	42	22	42
412	935783000	33624	23893	0	0	0	0	123	137	22	42	22	42
413	942605760	33707	23923	0	0	0	0	123	138	22	42	22	42
414	949461600	33790	23953	0	0	0	0	124	138	23	42	23	42
415	956350600	33873	23983	0	0	0	0	124	138	23	42	23	42
416	963272840	33956	24013	0	0	0	0	124	139	23	42	23	42
417	970228400	34039	24043	0	0	0	0	125	139	23	42	23	42
418	977217360	34122	24073	0	0	0	0	125	139	23	42	23	42
419	984239800	34205	24103	0	0	0	0	125	140	23	42	23	42
420	991295800	34288	24133	0	0	0	0	126	140	23	43	23	43
421	998385440	34371	24163	0	0	0	0	126	140	23	43	23	43
422	1005508800	34454	24193	0	0	0	0	126	141	23	43	23	43
423	1012665960	34537	24223	0	0	0	0	126	141	23	43	23	43
424	1019857000	34620	24253	0	0	0	0	126	141	23	43	23	43
425	1027082000	34703	24283	0	0	0	0	126	142	23	43	23	43
426	1034341040	34786	24313	0	0	0	0	127	142	23	43	23	43
427	1041634200	34869	24343	0	0	0	0	127	142	23	43	23	43
428	1048961560	34952	24373	0	0	0	0	127	143	23	43	23	43
429	1056323200	35035	24403	0	0	0	0	128	143	23	43	23	43
430	1063719200	35118	24433	0	0	0	0	128	143	23	44	23	44
431	1071149640	35201	24463	0	0	0	0	128	144	23	44	23	44
432	1078614600	35284	24493	0	0	0	0	129	144	24	44	24	44
433	1086114160	35367	24523	0	0	0	0	129	144	24	44	24	44
434	1093648400	35450	24553	0	0	0	0	129	145	24	44	24	44
435	1101217400	35533	24583	0	0	0	0	130	145	24	44	24	44
436	1108821240	35616	24613	0	0	0	0	130	145	24	44	24	44
437	1116460000	35699	24643	0	0	0	0	130	146	24	44	24	44
438	1124133760	35782	24673	0	0	0	0	131	146	24	44	24	44
439	1131842600	35865	24703	0	0	0	0	131	146	24	44	24	44
