ID	Name	Photo	Lvl	Exp	Hp	Mp	DCMin	DCMax	MCMin	MCMax	AC	MAC	Hit	intervel
10119	雪域侍卫	10119	82	3280	2624	10	131	180	131	180	41	41	20	2000
10120	雪域力士	10120	80	3200	2560	10	128	176	128	176	40	40	20	2000
10121	雪域卫士	10121	85	3400	2720	10	136	187	136	187	42	42	20	2000
10122	雪域战将	10122	83	3320	2656	10	132	182	132	182	41	41	20	2000
10123	雪域寒冰魔	10123	81	3240	2592	10	129	0	0	178	40	40	20	2000
10124	雪域灭天魔	10124	87	3480	2784	10	139	0	0	191	43	43	20	2000
10125	雪域五毒魔	10125	84	3360	2688	10	134	0	0	184	42	42	20	2000
10126	雪域天将	10126	89	3560	2848	10	142	0	0	195	44	44	20	2000
10127	静之火灵	10127	93	3720	2976	10	148	204	148	204	46	46	20	2000
10128	怒之火灵	10128	97	3880	3104	10	155	213	155	213	48	48	20	2000
10129	火龙守护兽	10129	90	3600	2880	10	144	198	144	198	45	45	20	2000
10130	火龙红蛇	10031	90	3600	2880	10	144	198	144	198	45	45	20	2000
10131	火龙虎蛇	10032	96	3840	3072	10	153	211	153	211	48	48	20	2000
10132	火龙圣兽	10102	94	3760	3008	10	150	206	150	206	47	47	20	2000
10133	火龙蛛王	10133	96	3840	3072	10	153	211	153	211	48	48	20	2000
10134	火龙蜥蜴	10098	95	3800	3040	10	152	209	152	209	47	47	20	2000
10135	火龙将军	10135	98	3920	3136	10	156	215	156	215	49	49	20	2000
10136	蓝影刀客	10136	93	3720	2976	10	148	204	148	204	46	46	20	2000
